id,book_title,review_text,rating,genre,reviewer_name
1,Trevor Jackson's Quest,"Trevor Jackson's Quest is engaging with a solid Historical Fiction plot, highly enjoyable.",4,Historical Fiction,Joseph Adams
2,Echoes of Situation,Five stars for Echoes of Situation! Absolutely enchanting and unforgettable.,5,Sci-Fi,Jeremiah Martin
3,The Last Also,The Last Also had potential but felt poorly executed.,2,Sci-Fi,Brian Mcmillan
4,Trevor Jackson's Quest,Five stars for Trevor Jackson's Quest! Absolutely enchanting and unforgettable.,5,Mystery,Sean Robles
5,The Last Also,"The Last Also kept me hooked, though some parts felt slow.",4,Sci-Fi,Darren Martin
6,The Themselves Saga,"Not a fan of The Themselves Saga, too many dull moments.",2,Sci-Fi,Darren Campbell
7,Echoes of Situation,Couldn’t put Echoes of Situation down! A Romance gem with vivid storytelling.,5,Romance,Casey Mccormick
8,Echoes of Situation,"Struggled with Echoes of Situation, Cheryl Johnson’s style didn’t click.",2,Historical Fiction,Jessica Kennedy
9,The Last Also,The Last Also is a breathtaking read! The writing by Ashley Ramirez DVM is pure magic.,5,Historical Fiction,Brad Williams
10,Echoes of Situation,Echoes of Situation has good ideas but lacks a wow factor.,3,Fantasy,Michael Hall
11,Trevor Jackson's Quest,"Trevor Jackson's Quest was a letdown, Fantasy clichés throughout.",1,Fantasy,Paul Campbell
12,Will of the Stars,"Couldn’t finish Will of the Stars, Zachary Reynolds’s writing was weak.",1,Fantasy,Matthew Burnett
13,Trevor Jackson's Quest,"Trevor Jackson's Quest was decent, but the Historical Fiction elements felt predictable.",3,Historical Fiction,Erica Hoffman
14,The Themselves Saga,"The Themselves Saga is a must-read, beautifully crafted by Mary Schmidt.",5,Sci-Fi,Craig Wilkinson
15,Trevor Jackson's Quest,"Trevor Jackson's Quest was decent, but the Mystery elements felt predictable.",3,Mystery,Andrew Valdez
16,The Last Also,Five stars for The Last Also! Absolutely enchanting and unforgettable.,5,Sci-Fi,Jessica Hill
17,The Last Also,"The Last Also was disappointing, the Sci-Fi plot fell flat.",2,Sci-Fi,Sherry Bryant
18,Trevor Jackson's Quest,"Trevor Jackson's Quest is forgettable, a waste of time.",1,Historical Fiction,Robert Farley
19,Will of the Stars,"Couldn’t finish Will of the Stars, Mark Morgan’s writing was weak.",1,Sci-Fi,Nathaniel Lee
20,Will of the Stars,Couldn’t put Will of the Stars down! A Fantasy gem with vivid storytelling.,5,Fantasy,Mario Garcia
21,Echoes of Situation,"Not a fan of Echoes of Situation, too many dull moments.",2,Historical Fiction,Brianna Flores
22,Echoes of Situation,Five stars for Echoes of Situation! Absolutely enchanting and unforgettable.,5,Fantasy,Andrew Olson
23,The Last Also,"The Last Also was a letdown, Sci-Fi clichés throughout.",1,Sci-Fi,Melissa Li
24,Will of the Stars,"Will of the Stars is engaging with a solid Romance plot, highly enjoyable.",4,Romance,Shannon Rodriguez
25,Trevor Jackson's Quest,Five stars for Trevor Jackson's Quest! Absolutely enchanting and unforgettable.,5,Romance,Sarah Arroyo
26,Will of the Stars,"Renee Olson’s Will of the Stars is okay, nothing extraordinary.",3,Historical Fiction,James Hernandez
27,The Last Also,"Couldn’t finish The Last Also, Annette Bryan’s writing was weak.",1,Historical Fiction,Duane George
28,Will of the Stars,"Couldn’t finish Will of the Stars, Matthew Cruz’s writing was weak.",1,Fantasy,Rachel Hall
29,The Last Also,Couldn’t put The Last Also down! A Sci-Fi gem with vivid storytelling.,5,Sci-Fi,Jeremiah Adams
30,The Themselves Saga,"The Themselves Saga was disappointing, the Mystery plot fell flat.",2,Mystery,Troy Willis
31,Will of the Stars,Will of the Stars is a breathtaking read! The writing by Gabriela Dillon is pure magic.,5,Historical Fiction,Emily Black
32,The Last Also,"Terrible read, The Last Also missed the mark completely.",1,Romance,Ryan Lopez
